edad;Personas
0;234728
1;231718
2;231894
3;239289
4;252753
5;258291
6;254158
7;252825
8;256408
9;260705
10;262067
11;260508
12;253965
13;246696
14;242033
15;241926
16;245672
17;250331
18;257667
19;264466
20;271200
21;280458
22;288238
23;297043
24;306242
25;314850
26;322566
27;328698
28;337610
29;345423
30;340337
31;335147
32;318632
33;305541
34;296554
35;291819
36;290084
37;288785
38;285404
39;279148
40;272979
41;269359
42;268069
43;268502
44;268098
45;265681
46;260041
47;253413
48;247642
49;244736
50;244292
51;245661
52;246310
53;245294
54;242868
55;239587
56;235415
57;230124
58;223707
59;216643
60;209724
61;203701
62;198065
63;192265
64;185639
65;178537
66;171209
67;163721
68;155194
69;145947
70;132116
71;122334
72;116937
73;109866
74;102136
75;94958
76;88280
77;82406
78;76767
79;71374
80;65938
81;60531
82;55100
83;49674
84;44668
85;40187
86;36368
87;32876
88;29524
89;26146
90;22686
91;19189
92;15702
93;12479
94;9712
95;7343
96;5442
97;3946
98;2825
99;2004
100;4494

